,name,hokkaido,tokyo,nagoya,osaka,fukuoka
0,名古屋市瑞穂陸上競技場,1831.9861276568113,565.4876257743338,13.831838550130104,299.9970482974851,1349.9962387142125
1,豊田スタジアム,1817.0135091870009,522.5253891427449,56.533711942653326,342.09954525432573,1392.9125589965874
2,フクダ電子アリーナ,1894.4528397144743,111.24525394321154,808.6452380805576,1169.826559875055,2470.769689756173
3,日立柏サッカー場,1834.3107227914907,81.245752864054,783.6052340052549,1148.8019865537362,2449.1743606888676
4,ニンジニアスタジアム,14890.580816363094,8429.172405289326,5117.843756002084,3384.5127585469145,2807.7844631266635
5,レベルファイブスタジアム,4373.777485581549,2865.7438918237385,2009.9690281840658,1567.274846030296,14.17501264034109
6,北九州市立本城陸上競技場,4251.630185254361,2766.722741724042,1909.9914727580854,1469.8409818673128,127.62424695424286
7,岐阜メモリアルセンター長良川競技場,7725.604644505212,2547.762226750947,257.27683978929764,1264.229002057319,5733.9259433728585
8,正田醤油スタジアム群馬,5618.049605893534,769.9618935491676,1973.4710027208416,3135.6893130613557,7241.027232960794
9,エディオンスタジアム広島,6954.80419661573,4137.401067361617,2555.2769478193627,1751.9922314035712,1199.0150434894013
10,札幌ドーム,25.569358525684883,2234.8062375561826,2684.769882225958,3031.0037293883674,4300.266441021674
11,札幌厚別公園競技場,37.15160893736184,2241.6782964839294,2695.4242440031235,3042.6986195177524,4314.194647294634
12,ノエビアスタジアム神戸,2953.6025411065475,1311.7327325131375,513.0481281937814,99.43077168142423,1376.1728766873723
13,県立カシマサッカースタジアム,3792.88411325337,530.7965026292413,2036.7871765520867,2816.818489356527,5595.586885341019
14,ケーズデンキスタジアム水戸,3620.0523346009127,519.2426065010679,1968.9641780437564,2753.513179186243,5523.772199590248
15,鹿児島県立鴨池陸上競技場 ,15307.007819944269,9716.543180184606,7082.781624802558,5682.664367516865,1984.6888804345188
16,等々力陸上競技場,1268.9829801375472,18.300726362006518,458.58076463431877,698.9060604113123,1561.037375409057
17,日産スタジアム,1282.8342102262409,32.745477090267514,449.50722994346216,689.0341891684542,1551.1554062469922
18,ニッパツ三ツ沢球技場,1289.4298341943788,39.00972011267337,448.3293162650713,687.3357975216247,1549.4063912951656
19,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,1320.3383561641404,81.34976483285375,403.6807051502151,641.2644854902676,1503.1265834970375
20,うまかな・よかなスタジアム,13158.029653208103,8354.605023915938,5852.096367743931,4535.674865722723,767.8860935842728
21,熊本市水前寺競技場,13222.478216678222,8416.289959756716,5914.833033441206,4598.5350294872305,781.6138415046582
22,京都市西京極総合運動公園陸上競技場兼球技場,5959.182922990413,2441.5443943723553,729.2220774475538,220.1945174697064,3312.364361737274
23,ユアテックスタジアム仙台,3138.8158071047746,1897.9457341205743,3330.3877994489444,4258.621101695934,7546.272419985083
24,松本平広域公園総合球技場,5948.607731419161,1422.6092025907876,1097.2857980880008,2181.053217290153,6123.884697619652
25,デンカビッグスワンスタジアム,3988.5161812091374,1605.2062383367117,2428.9635511976257,3353.0052850580887,6779.711074648616
26,大分銀行ドーム,19385.625564660644,11778.723344259366,7855.997306924806,5794.799526083702,1827.9878600578763
27,シティライトスタジアム,9346.531813376365,4886.311853332314,2527.2986226320095,1337.1015805376271,3048.2877011093387
28,万博記念競技場,1775.0468338011653,745.3624346574155,248.46925523417033,22.12046911017271,924.8468953769201
29,キンチョウスタジアム,1806.1000058025925,757.5006319829116,263.7247207544347,13.03617488969949,913.3000263567625
30,ヤンマースタジアム長居,1806.1000058025925,757.5006319829116,263.7247207544347,13.03617488969949,913.3000263567625
31,ベストアメニティスタジアム,27567.00694523832,17926.303276454848,12578.05797891185,9796.404230122707,483.742316036247
32,佐賀県総合運動場陸上競技場,28014.17077676129,18393.634175879906,13047.174092652547,10264.455503820434,670.6031546700739
33,埼玉スタジアム２００２,1542.1757706051644,45.1800487559313,608.5429148410835,916.4735400904268,2009.0108907920217
34,ＮＡＣＫ５スタジアム大宮,1543.5786278517376,49.43166068602086,591.707783714664,899.8552021239709,1992.0743443215622
35,ＩＡＩスタジアム日本平,3658.7087262332957,597.156355168381,676.3139070294349,1268.7729726018554,3487.4007075611244
36,エコパスタジアム,3832.371676935242,837.7237830217139,489.4233267396758,1044.2985900234132,3255.5173628007583
37,ヤマハスタジアム（磐田）,3855.570961584673,875.8453471804339,458.1088020639267,1005.8228880608741,3216.258412925826
38,栃木県グリーンスタジアム,5183.066236824405,713.076549845367,2626.5031045016613,3770.3692975558142,7796.974111743074
39,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,24182.34799930456,11474.634908327967,5423.894254475506,2257.586727184881,9169.362536786131
40,味の素スタジアム,848.4178784003539,18.709828895545545,296.1072782949708,458.44231900133684,1038.2032911194256
41,町田市立陸上競技場,858.4876525687173,30.155179058140053,285.2366324455101,447.2133582006229,1027.0513853887105
42,国立競技場,842.1656733545035,2.9517695799594854,317.1173644106049,479.288954620785,1059.099257978021
43,駒沢オリンピック公園総合運動場陸上競技場,848.9663287991774,7.826647230447995,310.17418971608777,472.0895595621842,1051.9427434355187
44,とりぎんバードスタジアム,29586.783693090252,15526.570895300936,7656.222760494124,4284.626548253804,11994.1319198674
45,富山県総合運動公園陸上競技場,11772.594746360402,4087.4290973719953,2257.978167996727,3931.2730224901356,11387.1681026621
46,ＮＤソフトスタジアム山形,7040.793825129712,3983.912530029318,6834.551907294908,8852.309843902583,16064.584000271609
47,山梨中銀スタジアム,15034.25036373222,2091.575463879817,3289.081520549134,6068.501090632686,15920.768833248103
48,熊谷スポーツ文化公園陸上競技場,1504.6249115292276,116.44687775731529,563.8877000451992,872.5408140317405,1960.5925370639095
49,神戸総合運動公園ユニバー記念競技場,2963.710313142496,1336.1292705008366,536.6437290772442,125.67627021311986,1351.8092192100944
50,宮城スタジアム,3122.9366824930216,1928.5831510053767,3375.1170581365336,4304.697234666968,7594.585407614828
51,岐阜メモリアルセンター長良川球技メドウ,6921.671252516632,2283.893051752971,233.64014977219637,1133.9557323071415,5138.9960008759535
52,味の素フィールド西が丘,832.4221931429003,8.926353452810613,318.35627393558866,481.04382824127555,1060.6697713969402
53,福島県営あづま陸上競技場,4486.638769249301,1769.8198668205118,3544.437952529931,4721.109204847649,8887.480004498446
54,岡山県津山陸上競技場,9040.16121287736,4755.267898168249,2408.947870474878,1294.689563230101,3241.469194233815
55,長崎県立総合運動公園陸上競技場,17863.979499057874,11779.677647441431,8491.925646808619,6769.1762523245425,1002.4109446895596
56,長崎市総合運動公園かきどまり陸上競技場,18106.415716199746,12049.499017492242,8761.390304711498,7038.689812246046,1199.6979498373912
57,大垣市浅中公園総合グラウンド陸上競技場,7073.479118896282,2418.3732119744154,257.0120723789619,974.7605251318439,4991.277927864919
58,香川県立丸亀競技場,19291.465015634345,10090.56865564063,5403.226764221146,2965.8309231228745,5696.26813445183
