,away_score,home_score,match,stage,time_x,weather,y,year,NHK,NHK_2,mean,temperature-humidity,month,day,n_tv,bus,time_y,w_cup_home,w_cup_away,hokkaido,tokyo,nagoya,osaka,fukuoka,teampca1,teampca2,teampca3,teampca4,teampca5
0,0,1,1,0,28,7346.0,18250.0,2012,1,1,0.7773582148332908,42.42292,3,5,4,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.7789866149459612,0.08280906222516765,-0.8340673362185111,-1.20663092848084,-1.1721596622276684
1,1,4,3,0,26,8035.0,11831.0,2012,0,0,0.7773582148332908,50.38027,3,5,3,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,2.1080976382860634,-0.8057614211185168,-0.4017607226205509,-0.6720586963803826,-0.7795751574151427
2,2,2,5,0,28,8035.0,13147.0,2012,0,1,0.7773582148332908,46.86267,4,5,5,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.0769659211390807,-1.2072685516431234,-0.12365351266170162,-2.0611366477264523,-0.9372966696823016
3,0,4,7,0,38,9231.5,17192.0,2012,0,1,0.7773582148332908,52.5218,4,5,4,0,6,0,4,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.8882443495999628,0.13763384229656403,-1.148216652560087,-1.284080611593893,-1.973249785334907
4,1,0,10,0,26,8035.0,18525.0,2012,0,1,0.7773582148332908,61.64207999999999,5,6,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.9798746357742154,-0.6437747399822316,0.6085826472479718,-1.1125078108594433,-0.9128860903438624
5,0,4,12,0,37,9231.5,16317.0,2012,0,0,0.7773582148332908,63.752869999999994,5,5,3,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.7708490506033312,-0.05824802220773301,-0.15485384453587606,-1.0890175215989488,-0.6925213322468241
6,1,4,14,0,27,7346.0,13554.0,2012,0,0,0.7773582148332908,65.9191,6,5,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,0.5036674875219145,0.535273242595857,0.12526639752001303,-1.9177207010659536,-1.022250322712684
7,2,2,16,0,37,9231.5,18722.0,2012,0,0,0.7773582148332908,66.47952,6,5,3,0,6,0,3,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.768584686124143,-0.9847534929276931,-1.5952779693567383,0.2879943547520205,-0.9043139156327872
8,1,1,19,0,37,9231.5,14611.0,2012,0,0,0.7773582148332908,78.81472,7,5,3,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.8035874044315092,0.19176310858305726,-0.6397927908195711,-1.5151899586447235,-1.301347561590247
9,2,2,20,0,37,8035.0,17935.0,2012,0,0,0.7773582148332908,76.91884999999998,8,5,3,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,2.157928839026106,0.0511511463175707,-0.22904811532523103,-0.04272525408918889,-0.9724109982828111
10,0,0,22,0,38,8035.0,17715.0,2012,0,0,0.7773582148332908,78.69366,8,5,3,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.8429096243399805,-0.5523938418336756,-0.5512473285547271,-0.3536137521540642,-0.15017668105318505
11,1,2,24,0,38,8035.0,17159.0,2012,0,0,0.7773582148332908,77.03443999999998,9,5,3,0,6,0,1,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.673575945656767,0.070974253416669,0.1918573221870845,-1.2675031834151167,-0.38127419100703347
12,1,2,26,0,31,9231.5,15509.0,2012,0,1,0.7773582148332908,71.04688999999998,9,5,4,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.34713299136445,1.558093595622475,-1.7134765565548078,-1.126855460084173,-0.6026996866685895
13,1,2,28,0,38,8035.0,18003.0,2012,0,1,0.7773582148332908,67.18704,10,5,3,0,6,0,2,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.3956002747257177,1.617503297592949,-1.5647269700856412,-0.36576568508298424,-1.030129563730424
14,2,3,29,0,26,9231.5,17711.0,2012,0,0,0.7773582148332908,64.43263999999999,10,5,2,0,6,0,3,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.9084049182133955,-0.4951568379102275,-0.1924924889714173,-1.415266180428116,-0.07339900130751265
15,1,1,31,0,38,8035.0,17493.0,2012,0,0,0.7773582148332908,55.74004,11,2,2,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,2.0803786923323875,0.49502433305616755,-0.18387978855109854,-0.4217248236143763,0.2816654480086007
16,1,0,33,0,29,9231.5,18526.0,2012,0,1,0.7773582148332908,49.1426,11,5,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.6452407569204286,-0.4352576833846318,-1.8919060537201442,0.07974593427297666,0.3597237783761591
17,1,1,1,0,28,8035.0,16353.0,2013,0,1,0.7773582148332908,46.30042,3,5,4,0,6,0,0,3138.8158071047746,1897.9457341205746,3330.387799448945,4258.621101695934,7546.272419985083,1.391075538718389,-1.086352310387297,-2.242618022112978,-0.034679541572523294,-1.6666518470664775
